小区编号,出行量
小区编号,4090180.0
1110,373.521122
1120,372.656881
1210,476.334064
1220,431.64842799999997
1310,285.943688
1410,596.469651
1510,0.0
1610,63.02289299999999
2110,305.676999
2120,380.574842
2210,311.277641
2310,265.334521
2320,344.23224300000004
2410,24.950443
2420,82.241154
2430,235.47284599999998
2440,124.22665599999999
3110,248.513983
3120,150.521254
3210,713.4229809999999
3220,209.272993
3310,285.447562
4110,263.329504
4120,473.962838
4210,495.494137
4220,222.552637
4310,520.989781
4410,645.758339
4510,28.700370999999997
4610,399.830668
5110,1180.790308
5120,718.541677
5210,1340.7108159999998
5220,937.8631019999999
5230,315.482039
6110,698.230411
6120,130.857316
6210,2262.187049
6220,739.3795269999999
6310,367.23773100000005
6410,538.571005
6420,310.98043499999994
6510,45.207452
6520,331.748209
6530,152.702446
7110,418.310654
7210,351.35448599999995
7310,1084.354457
7410,1455.4077980000002
7510,76.327088
7610,1509.443538
7620,0.0
8110,272.58994099999995
8210,131.816258
8310,573.408704
8320,324.96815599999996
8330,795.656659
8340,183.21714400000002
8410,288.56176400000004
8420,213.97231599999998
8510,38.653877
8520,0.0
9110,747.1196090000001
9120,574.731192
9130,342.44671400000004
9140,152.10082
9210,515.303735
9220,565.895259
9230,305.52438
9310,1647.921774
9320,1007.9670289999999
9330,581.442674
9410,827.20947
9420,597.6949520000001
10110,1334.8900050000002
10120,476.333091
10210,975.396263
10310,959.324528
10320,542.408186
10330,357.756645
10340,265.186043
10410,810.740385
10420,89.44673599999999
10510,407.00627099999997
10520,523.962214
10530,961.2981830000001
10540,708.776517
10610,361.194745
10620,369.11416800000006
11110,378.394865
11210,1258.78911
11310,947.762162
11320,213.373957
11330,734.8203579999999
12110,1348.786521
12210,1138.309319
12220,216.765942
12310,0.0
12410,89.32888700000001
13110,831.065061
13210,695.5190600000001
13310,914.066727
13410,0.0
14110,1010.165604
14120,710.024073
14210,391.414655
14220,638.4597040000001
14310,453.680068
14320,159.963668
14410,467.11569099999997
14420,459.331072
15110,172.152998
15120,640.281112
15130,401.072702
15140,440.416601
15210,728.0728119999999
15220,244.643681
15310,365.312159
15320,439.756983
15410,909.827816
16110,331.73862799999995
16120,344.076003
16210,327.238626
16220,130.28443700000003
16310,403.054181
16410,365.124141
17110,0.0
17120,109.37807
17210,642.271969
17310,442.87268
17320,476.233319
18110,1013.0246649999999
18210,490.41351699999996
18220,204.686136
18310,443.04766099999995
18320,812.0052670000001
18410,249.262914
18420,361.11989
18430,300.90955
19110,430.290839
19210,135.406337
19220,0.0
19310,553.037775
19320,172.460249
19410,425.00375699999995
19420,211.72403200000002
20110,525.857547
20120,241.412793
20130,234.40961000000001
20210,114.872911
20220,551.382563
21110,287.343535
21120,1009.6005670000001
21210,880.100433
21310,454.93736499999994
21320,306.076322
21330,279.803331
21340,0.0
21410,273.76375300000007
21420,490.77946099999997
21430,0.0
21510,0.0
21520,791.567458
21610,276.919876
21620,491.674849
22110,34.247316999999995
22120,637.5462500000001
22210,303.871443
22220,0.0
22310,0.0
22320,148.236015
22330,0.0
22340,210.917987
22350,1305.879938
22410,686.375438
22420,30.477354
22430,520.9852520000001
22510,337.14348600000005
22520,95.905507
22610,285.24610099999995
22620,273.500366
22710,81.866683
22720,93.535347
22810,48.204324
22820,351.59844899999996
23110,249.07167499999997
23120,309.286163
23130,88.822441
23140,150.956368
23150,443.419409
23160,82.49247700000001
23170,102.360496
23210,108.27728400000001
23220,96.40280000000001
23230,457.117712
23240,36.325832000000005
23250,70.370277
23310,63.81686
23320,1329.069218
23330,110.825818
23340,0.0
23350,658.1334549999999
23360,89.220665
23370,131.809881
23380,464.93469799999997
23410,476.251271
23420,37.76645499999999
23430,122.12661400000002
23440,154.628459
23450,236.12968299999997
23460,76.665758
23470,559.3318509999999
23480,322.12794800000006
23490,120.23777899999999
23510,0.0
23520,264.894338
23530,49.565803
23540,292.568494
23550,828.179858
23610,232.128086
23620,155.624053
23630,372.277853
23640,174.91672400000002
23650,666.686449
23710,387.13888199999997
23720,166.95073399999998
23730,0.0
23740,117.90739099999999
23750,247.82543800000002
23760,74.194085
24110,262.99629200000004
24120,183.90128900000002
24130,273.230871
24140,1088.069888
24150,675.966508
24160,320.90134400000005
24170,264.66220599999997
24210,134.565276
24220,0.0
24230,0.0
25110,4.741941
25120,0.0
25130,0.0
25140,40.522721
25210,732.1488459999999
25220,506.8479750000001
25230,643.9062690000001
25240,452.04491599999994
25250,812.9963920000001
25260,180.747886
25310,296.922666
25320,22.628595
26110,367.05623699999995
26120,0.0
26130,908.1325499999999
26210,79.378766
26220,577.7659780000001
26230,72.39429
26240,126.09413900000001
